                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.88437,                0.54859,                0.96652,                0.86224,                 0.8125,                0.86164,                0.52435,                 1.5577,                0.84218,                 1.2773,               0.000416,               0.000416,               0.000416
                     82,                0.85449,                0.53129,                 0.9636,                0.79878,                0.78125,                0.84453,                0.52605,                 1.5314,                0.86459,                 1.2466,              0.0003962,              0.0003962,              0.0003962
                     83,                0.82613,                0.52371,                0.93873,                0.97138,                0.65625,                0.83881,                0.51946,                 1.5142,                0.96578,                 1.2347,              0.0003764,              0.0003764,              0.0003764
                     84,                0.86747,                0.53621,                 0.9601,                0.85678,                   0.75,                0.84237,                0.50272,                  1.594,                 1.0078,                 1.3094,              0.0003566,              0.0003566,              0.0003566
                     85,                0.86732,                0.53588,                0.96237,                0.85409,                0.73196,                0.85376,                0.50381,                 1.6574,                 1.0301,                 1.3691,              0.0003368,              0.0003368,              0.0003368
                     86,                0.80622,                0.50991,                 0.9444,                0.88528,                0.72361,                0.85473,                0.50652,                 1.6412,                0.94443,                 1.3541,               0.000317,               0.000317,               0.000317
                     87,                0.82811,                0.51208,                0.94861,                  0.812,                0.80992,                0.85277,                0.52065,                 1.6082,                0.87223,                 1.3432,              0.0002972,              0.0002972,              0.0002972
                     88,                0.81966,                 0.5056,                 0.9498,                0.86197,                0.78063,                0.85286,                 0.5058,                 1.6009,                0.88259,                 1.3495,              0.0002774,              0.0002774,              0.0002774
                     89,                0.80996,                0.49644,                0.95505,                0.88246,                   0.75,                0.84432,                0.50231,                 1.5449,                0.86452,                 1.3112,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.8101,                0.49974,                0.93424,                0.86111,                0.78125,                0.85435,                0.50611,                 1.6538,                0.92474,                 1.3564,              0.0002378,              0.0002378,              0.0002378
                     91,                0.82212,                0.52836,                 0.9273,                0.85505,                0.73762,                0.85171,                0.50481,                   1.66,                0.93296,                 1.3699,               0.000218,               0.000218,               0.000218
                     92,                0.76438,                0.46848,                0.92101,                0.88843,                0.74668,                0.84942,                0.50369,                 1.6072,                0.92602,                 1.3374,              0.0001982,              0.0001982,              0.0001982
                     93,                0.75473,                0.46399,                0.93164,                0.85345,                   0.75,                0.86064,                0.50848,                 1.5919,                0.98595,                 1.3049,              0.0001784,              0.0001784,              0.0001784
                     94,                0.76295,                0.46935,                0.93466,                0.81018,                0.78125,                 0.8598,                0.49537,                 1.6305,                 1.0031,                 1.3235,              0.0001586,              0.0001586,              0.0001586
                     95,                0.74047,                0.45882,                0.90374,                0.88579,                   0.75,                0.86742,                0.50359,                 1.6263,                0.95339,                 1.3459,              0.0001388,              0.0001388,              0.0001388
                     96,                0.72156,                0.43839,                0.91179,                0.88666,                   0.75,                0.86579,                0.49307,                 1.6238,                0.92442,                 1.3598,               0.000119,               0.000119,               0.000119
                     97,                0.72661,                0.44717,                0.90636,                0.80937,                0.79631,                0.86706,                 0.4986,                 1.6444,                0.92901,                 1.3864,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.69188,                0.43913,                0.89695,                0.83716,                0.80347,                0.86789,                0.51373,                  1.641,                0.92162,                 1.3955,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.68424,                0.44259,                0.89972,                0.83708,                  0.803,                0.87336,                0.51533,                 1.6112,                0.88657,                  1.373,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.66809,                0.43305,                0.90176,                0.81133,                0.80646,                0.87047,                0.50847,                 1.6119,                0.85545,                 1.3706,               3.98e-05,               3.98e-05,               3.98e-05
